id;name;date;time;intentionName;hour;energy
23;Food;0;0;Eating Food;1;3
24;Rest;0;0;Resting;1;5
25;Bike;0;0;Riding Bike;2;-1.5
26;Walk;0;0;Walking In VondelPark;2;-1
27;Catch Pokemon;0;0;Catching Pokemon;1;-2
28;Funfair;0;0;Going Funfair;1;-1
29;Poke Cafe;0;0;Going Poke Cafe;2;1
30;Hangout;0;0;Hanging Out With Friends;1;1
31;Conference;0;0;Going Conference;1;-1
32;Museum;0;0;Going to a Museum;2;-1
33;Art Galleries;0;0;Visiting an Art Gallery;1;-0.5
34;Festival;0;0;Going to a Festival;2;-1
35;Exhibition;0;0;Visiting an Exhibition;1;-1
